from,to,line
B19N,B18N,D
B19S,B20S,D
B20N,B19N,D
B20S,B21S,D
B21N,B20N,D
B21S,B22S,D
B22N,B21N,D
B22S,B23S,D
B23N,B22N,D
B23S,D43S,D
D01S,D03S,D
D03N,D01N,D
D03S,D04S,D
D04N,D03N,D
D04S,D05S,D
D05N,D04N,D
D05S,D06S,D
D05S,D07S,D
D06N,D05N,D
D06S,D07S,D
D07N,D05N,D
D07N,D06N,D
D07S,D08S,D
D07S,D13S,D
D08N,D07N,D
D08S,D09S,D
D09N,D08N,D
D09S,D10S,D
D10N,D09N,D
D10S,D11S,D
D11N,D10N,D
D11S,D12S,D
D12N,D11N,D
D12S,D13S,D
D13N,D07N,D
D13N,D12N,D
D13S,A15S,D
D14N,A24N,D
D14S,D15S,D
D15N,D14N,D
D15S,D16S,D
D16N,D15N,D
D16S,D17S,D
D17N,D16N,D
D17S,D20S,D
D20N,D17N,D
D20S,D21S,D
D21N,D20N,D
D21S,D22S,D
D22N,D21N,D
D22S,R31S,D
D43N,B23N,D
R31N,D22N,D
R31S,R36S,D
R36N,R31N,D
R36S,B12S,D
A25N,D14N,E
A25S,A27S,E
A27N,A25N,E
A27S,A28S,E
A28N,A27N,E
A28S,A30S,E
A30N,A28N,E
A30S,A31S,E
A31N,A30N,E
A31S,A32S,E
A32N,A31N,E
A32S,A33S,E
A33N,A32N,E
A33S,A34S,E
A34N,A33N,E
A34S,E01S,E
D14N,F12N,E
D14S,A25S,E
E01N,A34N,E
F05S,F06S,E
F06N,G07N,E
F06S,F07S,E
F06S,G08S,E
F07S,G08S,E
F09N,G21N,E
F09S,F11S,E
F11N,F09N,E
F11S,F12S,E
F12N,F11N,E
F12S,D14S,E
G05S,G06S,E
G06N,G05N,E
G06S,G07S,E
G07N,G06N,E
G07S,F05S,E
G07S,F06S,E
G08N,F06N,E
G08S,G14S,E
G14N,G08N,E
G14S,G21S,E
G21N,G14N,E
G21S,F09S,E
A41N,F18N,F
A41S,F20S,F
B04N,G14N,F
B04S,B06S,F
B06N,B04N,F
B06S,B08S,F
B08N,B06N,F
B08S,B10S,F
B10N,B08N,F
B10S,D15S,F
D15N,B10N,F
D15S,D16S,F
D16N,D15N,F
D16S,D17S,F
D17N,D16N,F
D17S,D18S,F
D18N,D17N,F
D18S,D19S,F
D19N,D18N,F
D19S,D20S,F
D20N,D19N,F
D20S,D21S,F
D21N,D20N,F
D21S,F14S,F
D42N,F39N,F
D42S,D43S,F
D43N,D42N,F
F01S,F02S,F
F02N,F01N,F
F02S,F03S,F
F03N,F02N,F
F03S,F04S,F
F04N,F03N,F
F04S,F05S,F
F05N,F04N,F
F05S,F06S,F
F06N,F05N,F
F06S,F07S,F
