stop_id,order,route_id,station,id
G14S,7,M,Jackson Hts - Roosevelt Av,JKSN HT-ROOSVLT
G15S,8,M,65 St,65 ST
G16S,9,M,Northern Blvd,NORTHERN BLVD
G18S,10,M,46 St,46 ST
G19S,11,M,Steinway St,STEINWAY ST
G20S,12,M,36 St,36 ST
G21S,13,M,Queens Plaza,QUEENS PLAZA
F09S,14,M,Court Sq,COURT SQ-23 ST
F11S,15,M,Lexington Av/53 St,LEXINGTON AV/53
F12S,16,M,5 Av/53 St,
D15S,17,M,47-50 Sts - Rockefeller Ctr,47-50 STS ROCK
D16S,18,M,42 St - Bryant Pk,42 ST-BRYANT PK
D17S,19,M,34 St - Herald Sq,34 ST-HERALD SQ
D18S,20,M,23 St,23 ST
D19S,21,M,14 St,14 ST
D20S,22,M,W 4 St - Wash Sq,W 4 ST-WASH SQ
D21S,23,M,Broadway-Lafayette St,B'WAY-LAFAYETTE
M18S,24,M,Delancy St - Essex St,DELANCEY/ESSEX
M16S,25,M,Marcy Av,MARCY AV
M14S,26,M,Hewes St,HEWES ST
M13S,27,M,Lorimer St,LORIMER ST
M12S,28,M,Flushing Av,FLUSHING AV
M11S,29,M,Myrtle Av,MYRTLE AV
M10S,30,M,Central Av,CENTRAL AV
M09S,31,M,Knickerbocker Av,KNICKERBOCKER
M08S,32,M,Myrtle - Wyckoff Avs,MYRTLE-WYCKOFF
M06S,33,M,Seneca Av,SENECA AVE
M05S,34,M,Forest Av,FOREST AVE
M04S,35,M,Fresh Pond Rd,FRESH POND RD
M01S,36,M,Middle Village - Metropolitan Av,METROPOLITAN AV
R01S,1,N,Astoria - Ditmars Blvd,ASTORIA DITMARS
R03S,2,N,Astoria Blvd,ASTORIA BLVD
R04S,3,N,30 Av,30 AV
R05S,4,N,Broadway,BROADWAY
R06S,5,N,36 Av,36 AV
R08S,6,N,39 Av - Dutch Kills,
R09S,7,N,Queensboro Plaza,QUEENSBORO PLZ
R11S,8,N,Lexington Av/59 St,59 ST
R13S,9,N,5 Av/59 St,5 AV/59 ST
R14S,10,N,57 St - 7 Av,57 ST-7 AV
R15S,11,N,49 St,49 ST
R16S,12,N,Times Sq - 42 St,TIMES SQ-42 ST
R17S,13,N,34 St - Herald Sq,34 ST-HERALD SQ
R20S,14,N,14 St - Union Sq,14 ST-UNION SQ
Q01S,15,N,Canal St,CANAL ST
R31S,16,N,Atlantic Av - Barclays Ctr,ATL AV-BARCLAY
R36S,17,N,36 St,36 ST
R41S,18,N,59 St,59 ST
N02S,19,N,8 Av,8 AV
N03S,20,N,Fort Hamilton Pkwy,FT HAMILTON PKY
N04S,21,N,New Utrecht Av,NEW UTRECHT AV
N05S,22,N,18 Av,18 AV
N06S,23,N,20 Av,20 AV
N07S,24,N,Bay Pkwy,BAY PKWY
N08S,25,N,Kings Hwy,KINGS HWY
N09S,26,N,Avenue U,AVENUE U
N10S,27,N,86 St,86 ST
D43S,28,N,Coney Island - Stillwell Av,CONEY IS-STILLW
Q05S,1,Q,96 St,96 ST-2 AVE
Q04S,2,Q,86 St,86 ST-2 AVE
Q03S,3,Q,72 St,72 ST-2 AVE
B08S,4,Q,Lexington Av/63 St,LEXINGTON AV/63
R14S,5,Q,57 St - 7 Av,57 ST-7 AV
R16S,6,Q,Times Sq - 42 St,TIMES SQ-42 ST
R17S,7,Q,34 St - Herald Sq,34 ST-HERALD SQ
R20S,8,Q,14 St - Union Sq,14 ST-UNION SQ
Q01S,9,Q,Canal St,CANAL ST
R30S,10,Q,DeKalb Av,DEKALB AV
D24S,11,Q,Atlantic Av - Barclays Ctr,ATL AV-BARCLAY
D25S,12,Q,7 Av,7 AV
D26S,13,Q,Prospect Park,PROSPECT PARK
D27S,14,Q,Parkside Av,PARKSIDE AV
D28S,15,Q,Church Av,CHURCH AV
D29S,16,Q,Beverley Rd,BEVERLEY ROAD
D30S,17,Q,Cortelyou Rd,CORTELYOU RD
D31S,18,Q,Newkirk Plaza,NEWKIRK PLAZA
D32S,19,Q,Avenue H,AVENUE H
D33S,20,Q,Avenue J,AVENUE J
D34S,21,Q,Avenue M,AVENUE M
D35S,22,Q,Kings Hwy,KINGS HWY
D37S,23,Q,Avenue U,AVENUE U
D38S,24,Q,Neck Rd,NECK RD
D39S,25,Q,Sheepshead Bay,SHEEPSHEAD BAY
D40S,26,Q,Brighton Beach,BRIGHTON BEACH
D41S,27,Q,Ocean Pkwy,OCEAN PKWY
D42S,28,Q,W 8 St - NY Aquarium,W 8 ST-AQUARIUM
D43S,29,Q,Coney Island - Stillwell Av,CONEY IS-STILLW
G08S,1,R,Forest Hills - 71 Av,FOREST HILLS 71
G09S,2,R,67 Av,67 AV
G10S,3,R,63 Dr - Rego Park,63 DR-REGO PARK
G11S,4,R,Woodhaven Blvd,WOODHAVEN BLVD
G12S,5,R,Grand Av - Newtown,GRAND-NEWTOWN
G13S,6,R,Elmhurst Av,ELMHURST AV
G14S,7,R,Jackson Hts - Roosevelt Av,JKSN HT-ROOSVLT
G15S,8,R,65 St,65 ST
G16S,9,R,Northern Blvd,NORTHERN BLVD
G18S,10,R,46 St,46 ST
G19S,11,R,Steinway St,STEINWAY ST
G20S,12,R,36 St,36 ST
G21S,13,R,Queens Plaza,QUEENS PLAZA
R11S,14,R,Lexington Av/59 St,59 ST
R13S,15,R,5 Av/59 St,5 AV/59 ST
R14S,16,R,57 St - 7 Av,57 ST-7 AV
R15S,17,R,49 St,49 ST
R16S,18,R,Times Sq - 42 St,TIMES SQ-42 ST
R17S,19,R,34 St - Herald Sq,34 ST-HERALD SQ
R18S,20,R,28 St,28 ST
R19S,21,R,23 St,23 ST
R20S,22,R,14 St - Union Sq,14 ST-UNION SQ
R21S,23,R,8 St - NYU,8 ST-NYU
R22S,24,R,Prince St,PRINCE ST
R23S,25,R,Canal St,CANAL ST
R24S,26,R,City Hall,CITY HALL
R25S,27,R,Cortlandt St,CORTLANDT ST
R26S,28,R,Rector St,RECTOR ST
R27S,29,R,Whitehall St - South Ferry,WHITEHALL S-FRY
R28S,30,R,Court St,BOROUGH HALL
R29S,31,R,Jay St - MetroTech,JAY ST-METROTEC
R30S,32,R,DeKalb Av,DEKALB AV
R31S,33,R,Atlantic Av - Barclays Ctr,ATL AV-BARCLAY
R32S,34,R,Union St,UNION ST
R33S,35,R,4 Av - 9 St,4 AV-9 ST
R34S,36,R,Prospect Av,PROSPECT AV
R35S,37,R,25 St,25 ST
R36S,38,R,36 St,36 ST
R39S,39,R,45 St,45 ST
R40S,40,R,53 St,53 ST
R41S,41,R,59 St,59 ST
R42S,42,R,Bay Ridge Av,BAY RIDGE AV
R43S,43,R,77 St,77 ST
R44S,44,R,86 St,86 ST
R45S,45,R,Bay Ridge - 95 St,BAY RIDGE-95 ST
R01S,1,W,Astoria - Ditmars Blvd,ASTORIA DITMARS
R03S,2,W,Astoria Blvd,ASTORIA BLVD
R04S,3,W,30 Av,30 AV
R05S,4,W,Broadway,BROADWAY
R06S,5,W,36 Av,36 AV
R08S,6,W,39 Av - Dutch Kills,
R09S,7,W,Queensboro Plaza,QUEENSBORO PLZ
R11S,8,W,Lexington Av/59 St,59 ST
R13S,9,W,5 Av/59 St,5 AV/59 ST
R14S,10,W,57 St - 7 Av,57 ST-7 AV
R15S,11,W,49 St,49 ST
R16S,12,W,Times Sq - 42 St,TIMES SQ-42 ST
R17S,13,W,34 St - Herald Sq,34 ST-HERALD SQ
R18S,14,W,28 St,28 ST
R19S,15,W,23 St,23 ST
R20S,16,W,14 St - Union Sq,14 ST-UNION SQ
R21S,17,W,8 St - NYU,8 ST-NYU
R22S,18,W,Prince St,PRINCE ST
R23S,19,W,Canal St,CANAL ST
R24S,20,W,City Hall,CITY HALL
R25S,21,W,Cortlandt St,CORTLANDT ST
R26S,22,W,Rector St,RECTOR ST
R27S,23,W,Whitehall St - South Ferry,WHITEHALL S-FRY
G05S,1,Z,Jamaica Center - Parsons/Archer,JAMAICA CENTER
G06S,2,Z,Sutphin Blvd - Archer Av - JFK Airport,SUTPHIN-ARCHER
J12S,3,Z,121 St,121 ST
J14S,4,Z,104 St,104 ST
J15S,5,Z,Woodhaven Blvd,WOODHAVEN BLVD
J17S,6,Z,75 St - Elder Ln,75 ST-ELDERTS
J20S,7,Z,Crescent St,CRESCENT ST
J21S,8,Z,Norwood Av,NORWOOD AV
J23S,9,Z,Van Siclen Av,VAN SICLEN AV
J24S,10,Z,Alabama Av,ALABAMA AV
J27S,11,Z,Broadway Jct,BROADWAY JCT
J28S,12,Z,Chauncey St,CHAUNCEY ST
J30S,13,Z,Gates Av,GATES AV
M11S,14,Z,Myrtle Av,MYRTLE AV
M16S,15,Z,Marcy Av,MARCY AV
M18S,16,Z,Delancy St - Essex St,DELANCEY/ESSEX
M19S,17,Z,Bowery,BOWERY
M20S,18,Z,Canal St,CANAL ST
M21S,19,Z,Chambers St,CHAMBERS ST
M22S,20,Z,Fulton St,FULTON ST
M23S,21,Z,Broad St,BROAD ST
