stop_id,order,route_id,station,id
402S,2,4,Mosholu Pkwy,MOSHOLU PKWY
405S,3,4,Bedford Park Blvd - Lehman College,BEDFORD PK BLVD
406S,4,4,Kingsbridge Rd,KINGSBRIDGE RD
407S,5,4,Fordham Rd,FORDHAM RD
408S,6,4,183 St,183 ST
409S,7,4,Burnside Av,BURNSIDE AV
410S,8,4,176 St,176 ST
411S,9,4,Mt Eden Av,MT EDEN AV
412S,10,4,170 St,170 ST
413S,11,4,167 St,167 ST
414S,12,4,161 St - Yankee Stadium,161/YANKEE STAD
415S,13,4,149 St - Grand Concourse,149/GRAND CONC
416S,14,4,138 St - Grand Concourse,138/GRAND CONC
621S,15,4,125 St,125 ST
626S,16,4,86 St,86 ST
629S,17,4,59 St,59 ST
631S,18,4,Grand Central - 42 St,GRD CNTRL-42 ST
635S,19,4,14 St - Union Sq,14 ST-UNION SQ
640S,20,4,Brooklyn Bridge - City Hall,BROOKLYN BRIDGE
418S,21,4,Fulton St,FULTON ST
419S,22,4,Wall St,WALL ST
420S,23,4,Bowling Green,BOWLING GREEN
423S,24,4,Borough Hall,BOROUGH HALL
234S,25,4,Nevins St,NEVINS ST
235S,26,4,Atlantic Av - Barclays Ctr,ATL AV-BARCLAY
239S,27,4,Franklin Av,FRANKLIN AV
250S,28,4,Crown Hts - Utica Av,CROWN HTS-UTICA
501S,1,5,Eastchester - Dyre Av,EASTCHSTER/DYRE
502S,2,5,Baychester Av,BAYCHESTER AV
503S,3,5,Gun Hill Rd,GUN HILL RD
504S,4,5,Pelham Pkwy,PELHAM PKWY
505S,5,5,Morris Park,MORRIS PARK
213S,6,5,E 180 St,E 180 ST
214S,7,5,West Farms Sq - E Tremont Av,WEST FARMS SQ
215S,8,5,174 St,174 ST
216S,9,5,Freeman St,FREEMAN ST
217S,10,5,Simpson St,SIMPSON ST
218S,11,5,Intervale Av,INTERVALE AV
219S,12,5,Prospect Av,PROSPECT AV
220S,13,5,Jackson Av,JACKSON AV
221S,14,5,3 Av - 149 St,
222S,15,5,149 St - Grand Concourse,149/GRAND CONC
416S,16,5,138 St - Grand Concourse,138/GRAND CONC
621S,17,5,125 St,125 ST
626S,18,5,86 St,86 ST
629S,19,5,59 St,59 ST
631S,20,5,Grand Central - 42 St,GRD CNTRL-42 ST
635S,21,5,14 St - Union Sq,14 ST-UNION SQ
640S,22,5,Brooklyn Bridge - City Hall,BROOKLYN BRIDGE
418S,23,5,Fulton St,FULTON ST
419S,24,5,Wall St,WALL ST
420S,25,5,Bowling Green,BOWLING GREEN
423S,26,5,Borough Hall,BOROUGH HALL
234S,27,5,Nevins St,NEVINS ST
235S,28,5,Atlantic Av - Barclays Ctr,ATL AV-BARCLAY
239S,29,5,Franklin Av,FRANKLIN AV
241S,30,5,President St,PRESIDENT ST
242S,31,5,Sterling St,STERLING ST
243S,32,5,Winthrop St,WINTHROP ST
244S,33,5,Church Av,CHURCH AV
245S,34,5,Beverly Rd,BEVERLY RD
246S,35,5,Newkirk Av,NEWKIRK AV
247S,36,5,Flatbush Av - Brooklyn College,FLATBUSH AV-B.C
601S,1,6,Pelham Bay Park,PELHAM BAY PARK
602S,2,6,Buhre Av,BUHRE AV
