stop_id,order,route_id,station,id,LINENAME,line
A41S,26,C,Jay St - MetroTech,JAY ST-METROTEC,ACF,C
A42S,27,C,Hoyt - Schermerhorn Sts,HOYT-SCHER,ACG,C
A43S,28,C,Lafayette Av,LAFAYETTE AV,C,C
A44S,29,C,Clinton - Washington Avs,CLINTON-WASH AV,C,C
A45S,30,C,Franklin Av,FRANKLIN AV,ACS,C
A46S,31,C,Nostrand Av,NOSTRAND AV,AC,C
A47S,32,C,Kingston - Throop Avs,KINGSTON-THROOP,C,C
A48S,33,C,Utica Av,UTICA AV,AC,C
A49S,34,C,Ralph Av,RALPH AV,C,C
A50S,35,C,Rockaway Av,ROCKAWAY AV,C,C
A51S,36,C,Broadway Jct,BROADWAY JCT,ACJLZ,C
A52S,37,C,Liberty Av,LIBERTY AV,C,C
A53S,38,C,Van Siclen Av,VAN SICLEN AVE,C,C
A54S,39,C,Shepherd Av,SHEPHERD AV,C,C
A55S,40,C,Euclid Av,EUCLID AV,AC,C
D01S,1,D,Norwood - 205 St,NORWOOD 205 ST,D,D
D03S,2,D,Bedford Park Blvd,BEDFORD PK BLVD,BD,D
D04S,3,D,Kingsbridge Rd,KINGSBRIDGE RD,BD,D
D05S,4,D,Fordham Rd,FORDHAM RD,BD,D
D06S,5,D,182-183 Sts,182-183 STS,BD,D
D07S,6,D,Tremont Av,TREMONT AV,BD,D
D08S,7,D,174-175 Sts,174-175 STS,BD,D
D09S,8,D,170 St,170 ST,BD,D
D10S,9,D,167 St,167 ST,BD,D
D11S,10,D,161 St - Yankee Stadium,161/YANKEE STAD,4BD,D
D12S,11,D,155 St,155 ST,BD,D
D13S,12,D,145 St,145 ST,ABCD,D
A15S,13,D,125 St,125 ST,ACBD,D
A24S,14,D,59 St - Columbus Circle,59 ST COLUMBUS,1ABCD,D
D14S,15,D,7 Av,7 AV,BDE,D
D15S,16,D,47-50 Sts - Rockefeller Ctr,47-50 STS ROCK,BDFM,D
D16S,17,D,42 St - Bryant Pk,42 ST-BRYANT PK,BDFM7,D
D17S,18,D,34 St - Herald Sq,34 ST-HERALD SQ,BDFMNQRW,D
D20S,19,D,W 4 St - Wash Sq,W 4 ST-WASH SQ,ABCDEFM,D
D21S,20,D,Broadway-Lafayette St,B'WAY-LAFAYETTE,BDFQ6,D
D22S,21,D,Grand St,GRAND ST,BD,D
R31S,22,D,Atlantic Av - Barclays Ctr,ATL AV-BARCLAY,2345BDNQR,D
R36S,23,D,36 St,36 ST,DNR,D
B12S,24,D,9 Av,9 AV,D,D
B13S,25,D,Fort Hamilton Pkwy,FT HAMILTON PKY,D,D
B14S,26,D,50 St,50 ST,D,D
B15S,27,D,55 St,55 ST,D,D
B16S,28,D,62 St,NEW UTRECHT AV,ND,D
B17S,29,D,71 St,71 ST,D,D
B18S,30,D,79 St,79 ST,D,D
B19S,31,D,18 Av,18 AV,D,D
B20S,32,D,20 Av,20 AV,D,D
B21S,33,D,Bay Pkwy,BAY PKWY,D,D
B22S,34,D,25 Av,25 AV,D,D
B23S,35,D,Bay 50 St,BAY 50 ST,D,D
D43S,36,D,Coney Island - Stillwell Av,CONEY IS-STILLW,DFNQ,D
G05S,1,E,Jamaica Center - Parsons/Archer,JAMAICA CENTER,EJZ,E
G06S,2,E,Sutphin Blvd - Archer Av - JFK Airport,SUTPHIN-ARCHER,EJZ,E
G07S,3,E,Jamaica - Van Wyck,JAMAICA VAN WK,E,E
F05S,4,E,Briarwood,BRIARWOOD,EF,E
F06S,5,E,Kew Gardens - Union Tpke,KEW GARDENS,EF,E
F07S,6,E,75 Av,75 AV,EF,E
G08S,7,E,Forest Hills - 71 Av,FOREST HILLS 71,EFMR,E
G14S,8,E,Jackson Hts - Roosevelt Av,JKSN HT-ROOSVLT,EFMR7,E
G21S,9,E,Queens Plaza,QUEENS PLAZA,EMR,E
F09S,10,E,Court Sq,COURT SQ-23 ST,EMG,E
F11S,11,E,Lexington Av/53 St,LEXINGTON AV/53,EM6,E
F12S,12,E,5 Av/53 St,5 AV/53 ST,EM,E
D14S,13,E,7 Av,7 AV,BDE,E
A25S,14,E,50 St,50 ST,CE,E
A27S,15,E,42 St - Port Authority Bus Terminal,42 ST-PORT AUTH,ACENGRS1237W,E
A28S,16,E,34 St - Penn Station,34 ST-PENN STA,123ACE,E
A30S,17,E,23 St,23 ST,CE,E
A31S,18,E,14 St,14 ST,ACEL,E
A32S,19,E,W 4 St - Wash Sq,W 4 ST-WASH SQ,ABCDEFM,E
A33S,20,E,Spring St,SPRING ST,CE,E
A34S,21,E,Canal St,CANAL ST,ACE,E
E01S,22,E,World Trade Center,WORLD TRADE CTR,ACE23,E
F01S,1,F,Jamaica - 179 St,JAMAICA 179 ST,F,F
F02S,2,F,169 St,169 ST,F,F
F03S,3,F,Parsons Blvd,PARSONS BLVD,F,F
F04S,4,F,Sutphin Blvd,SUTPHIN BLVD,F,F
F05S,5,F,Briarwood,BRIARWOOD,EF,F
F06S,6,F,Kew Gardens - Union Tpke,KEW GARDENS,EF,F
F07S,7,F,75 Av,75 AV,EF,F
G08S,8,F,Forest Hills - 71 Av,FOREST HILLS 71,EFMR,F
G14S,9,F,Jackson Hts - Roosevelt Av,JKSN HT-ROOSVLT,EFMR7,F
B04S,10,F,21 St - Queensbridge,21 ST-QNSBRIDGE,F,F
B06S,11,F,Roosevelt Island,ROOSEVELT ISLND,F,F
B08S,12,F,Lexington Av/63 St,LEXINGTON AV/63,F,F
B10S,13,F,57 St,57 ST,F,F
D15S,14,F,47-50 Sts - Rockefeller Ctr,47-50 STS ROCK,BDFM,F
D16S,15,F,42 St - Bryant Pk,42 ST-BRYANT PK,BDFM7,F
D17S,16,F,34 St - Herald Sq,34 ST-HERALD SQ,BDFMNQRW,F
D18S,17,F,23 St,23 ST,FM,F
D19S,18,F,14 St,14 ST,123FLM,F
D20S,19,F,W 4 St - Wash Sq,W 4 ST-WASH SQ,ABCDEFM,F
D21S,20,F,Broadway-Lafayette St,B'WAY-LAFAYETTE,BDFQ6,F
F14S,21,F,2 Av,2 AV,F,F
F15S,22,F,Delancey St - Essex St,DELANCEY/ESSEX,FJMZ,F
F16S,23,F,East Broadway,EAST BROADWAY,F,F
F18S,24,F,York St,YORK ST,F,F
A41S,25,F,Jay St - MetroTech,JAY ST-METROTEC,ACF,F
F20S,26,F,Bergen St,BERGEN ST,FG,F
F21S,27,F,Carroll St,CARROLL ST,FG,F
F22S,28,F,Smith - 9 Sts,SMITH-9 ST,FG,F
F23S,29,F,4 Av - 9 St,4 AV-9 ST,DFGMNR,F
F23S,29,F,4 Av - 9 St,4AV-9 ST,DFGMNR,F
F24S,30,F,7 Av,7 AV,FG,F
F25S,31,F,15 St - Prospect Park,15 ST-PROSPECT,FG,F
F26S,32,F,Fort Hamilton Pkwy,FT HAMILTON PKY,FG,F
F27S,33,F,Church Av,CHURCH AV,FG,F
F29S,34,F,Ditmas Av,DITMAS AV,F,F
F30S,35,F,18 Av,18 AV,F,F
F31S,36,F,Avenue I,AVENUE I,F,F
F32S,37,F,Bay Pkwy,BAY PKWY,F,F
F33S,38,F,Avenue N,AVENUE N,F,F
F34S,39,F,Avenue P,AVENUE P,F,F
F35S,40,F,Kings Hwy,KINGS HWY,F,F
F36S,41,F,Avenue U,AVENUE U,F,F
F38S,42,F,Avenue X,AVENUE X,F,F
F39S,43,F,Neptune Av,NEPTUNE AV,F,F
D42S,44,F,W 8 St - NY Aquarium,W 8 ST-AQUARIUM,FQ,F
D43S,45,F,Coney Island - Stillwell Av,CONEY IS-STILLW,DFNQ,F
G22S,1,G,Court Sq - 23 St,COURT SQ,EMG,G
G24S,2,G,21 St,21 ST,G,G
G26S,3,G,Greenpoint Av,GREENPOINT AV,G,G
G28S,4,G,Nassau Av,NASSAU AV,G,G
G29S,5,G,Metropolitan Av,METROPOLITAN AV,GL,G
G30S,6,G,Broadway,BROADWAY,G,G
G31S,7,G,Flushing Av,FLUSHING AV,G,G
G32S,8,G,Myrtle - Willoughby Avs,MYRTLE-WILLOUGH,G,G
G33S,9,G,Bedford - Nostrand Avs,BEDFORD-NOSTRAN,G,G
G34S,10,G,Classon Av,CLASSON AV,G,G
G35S,11,G,Clinton - Washington Avs,CLINTON-WASH AV,G,G
G36S,12,G,Fulton St,FULTON ST,G,G
