name,id,route_id,LINENAME
14 St - Union Sq,14 ST-UNION SQ,4,LNQR456W
14 St - Union Sq,14 ST-UNION SQ,5,LNQR456W
168 St,168 ST,A,1AC
168 St,168 ST,C,1AC
168 St - Washington Hts,168 ST,1,1AC
34 St - Penn Station,34 ST-PENN STA,1,123
34 St - Penn Station,34 ST-PENN STA,3,123
34 St - Penn Station,34 ST-PENN STA,2,123
34 St - Penn Station,34 ST-PENN STA,A,123ACE
34 St - Penn Station,34 ST-PENN STA,E,123ACE
34 St - Penn Station,34 ST-PENN STA,C,123ACE
42 St - Port Authority Bus Terminal,42 ST-PORT AUTH,E,ACENGRS1237W
42 St - Port Authority Bus Terminal,42 ST-PORT AUTH,A,ACENGRS1237W
42 St - Port Authority Bus Terminal,42 ST-PORT AUTH,C,ACENGRS1237W
59 St,59 ST,N,456NQRW
59 St,59 ST,4,456NQRW
59 St,59 ST,R,456NQRW
Lexington Av/59 St,59 ST,R,456NQRW
59 St,59 ST,5,456NQRW
59 St,59 ST,6,456NQRW
Lexington Av/59 St,59 ST,N,456NQRW
Lexington Av/59 St,59 ST,W,456NQRW
59 St - Columbus Circle,59 ST COLUMBUS,D,1ABCD
59 St - Columbus Circle,59 ST COLUMBUS,A,1ABCD
59 St - Columbus Circle,59 ST COLUMBUS,1,1ABCD
59 St - Columbus Circle,59 ST COLUMBUS,C,1ABCD
59 St - Columbus Circle,59 ST COLUMBUS,B,1ABCD
Atlantic Av - Barclays Ctr,ATL AV-BARCLAY,3,2345BDNQR
Atlantic Av - Barclays Ctr,ATL AV-BARCLAY,4,2345BDNQR
Atlantic Av - Barclays Ctr,ATL AV-BARCLAY,2,2345BDNQR
Atlantic Av - Barclays Ctr,ATL AV-BARCLAY,D,2345BDNQR
Atlantic Av - Barclays Ctr,ATL AV-BARCLAY,R,2345BDNQR
Atlantic Av - Barclays Ctr,ATL AV-BARCLAY,N,2345BDNQR
Atlantic Av - Barclays Ctr,ATL AV-BARCLAY,Q,2345BDNQR
Atlantic Av - Barclays Ctr,ATL AV-BARCLAY,5,2345BDNQR
Atlantic Av - Barclays Ctr,ATL AV-BARCLAY,B,2345BDNQR
Court St,BOROUGH HALL,R,2345R
Borough Hall,BOROUGH HALL,4,2345R
Borough Hall,BOROUGH HALL,2,2345R
Borough Hall,BOROUGH HALL,3,2345R
Borough Hall,BOROUGH HALL,5,2345R
Fulton St,FULTON ST,J,2345ACJZ
Fulton St,FULTON ST,Z,2345ACJZ
Fulton St,FULTON ST,4,ACJZ2345
Fulton St,FULTON ST,2,ACJZ2345
Fulton St,FULTON ST,A,ACJZ2345
Fulton St,FULTON ST,3,ACJZ2345
Fulton St,FULTON ST,C,ACJZ2345
Fulton St,FULTON ST,5,ACJZ2345
Times Sq - 42 St,TIMES SQ-42 ST,7,1237ACENQRS
Times Sq - 42 St,TIMES SQ-42 ST,1,1237ACENQRS
Times Sq - 42 St,TIMES SQ-42 ST,3,1237ACENQRS
Times Sq - 42 St,TIMES SQ-42 ST,2,1237ACENQRS
Times Sq - 42 St,TIMES SQ-42 ST,N,1237ACENQRSW
Times Sq - 42 St,TIMES SQ-42 ST,Q,1237ACENQRSW
Times Sq - 42 St,TIMES SQ-42 ST,R,1237ACENQRSW
Times Sq - 42 St,TIMES SQ-42 ST,W,1237ACENQRSW
